Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,2912.5,2950.0,2887.5,2912.5,2516.2724609375,67410400
2021-08-05,2937.5,3037.5,2925.0,3025.0,2613.467529296875,140254000
2021-08-06,3037.5,3050.0,2975.0,2987.5,2581.06884765625,63682000
2021-08-09,3000.0,3012.5,2900.0,2900.0,2505.472900390625,50317400
2021-08-10,2900.0,2937.5,2887.5,2900.0,2505.472900390625,54893400
2021-08-12,2937.5,2975.0,2912.5,2962.5,2559.47021484375,51328800
2021-08-13,2987.5,3025.0,2950.0,3000.0,2591.86865234375,41771600
2021-08-16,3000.0,3025.0,2925.0,2987.5,2581.06884765625,53074000
2021-08-18,3000.0,3087.5,2962.5,3025.0,2613.467529296875,141229400
2021-08-19,3050.0,3050.0,2900.0,2925.0,2527.072021484375,101976800
2021-08-20,2950.0,2975.0,2900.0,2950.0,2548.670654296875,62841600
2021-08-23,2950.0,3000.0,2950.0,2987.5,2581.06884765625,46346200
2021-08-24,2975.0,2987.5,2900.0,2912.5,2516.2724609375,85217600
2021-08-25,2937.5,2987.5,2925.0,2975.0,2570.269775390625,60726800
2021-08-26,2925.0,2962.5,2912.5,2912.5,2516.2724609375,55050200
2021-08-27,2912.5,2937.5,2887.5,2900.0,2505.472900390625,35765000
2021-08-30,2925.0,2975.0,2912.5,2975.0,2570.269775390625,65062000
2021-08-31,3000.0,3050.0,2975.0,3050.0,2635.06640625,135700400
2021-09-01,3050.0,3050.0,3000.0,3000.0,2591.86865234375,70082000
2021-09-02,3025.0,3050.0,2987.5,3025.0,2613.467529296875,51554400
2021-09-03,3050.0,3075.0,3000.0,3062.5,2645.865966796875,50760000
2021-09-06,3100.0,3162.5,3062.5,3100.0,2678.26416015625,51684400
2021-09-07,3125.0,3175.0,3112.5,3125.0,2699.863037109375,70448400
2021-09-08,3150.0,3150.0,3062.5,3125.0,2699.863037109375,84660600
2021-09-09,3150.0,3175.0,3062.5,3175.0,2743.060791015625,93331600
2021-09-10,3137.5,3150.0,3087.5,3100.0,2678.26416015625,107576800
2021-09-13,3050.0,3112.5,3025.0,3075.0,2656.665283203125,104806600
2021-09-14,3075.0,3100.0,3037.5,3050.0,2635.06640625,84931400
2021-09-15,3087.5,3100.0,3050.0,3062.5,2645.865966796875,135497800
2021-09-16,3087.5,3100.0,3062.5,3075.0,2656.665283203125,61344200
2021-09-17,3062.5,3075.0,3025.0,3025.0,2613.467529296875,82452800
2021-09-20,3012.5,3037.5,2962.5,3012.5,2602.668212890625,57569200
2021-09-21,3012.5,3012.5,2962.5,2987.5,2581.06884765625,45153400
